title,href
Temple of the False Serpent,/wiki/Temple_of_the_False_Serpent/Transcript
Dubious Pursuits,/wiki/Dubious_Pursuits/Transcript
A Pirate's Life for Me,/wiki/A_Pirate%27s_Life_for_Me/Transcript
A Hole In the Plan,/wiki/A_Hole_In_the_Plan/Transcript
In Hot Water,/wiki/In_Hot_Water/Transcript
The Diver's Grave,/wiki/The_Diver%27s_Grave/Transcript
The Stowaway,/wiki/The_Stowaway/Transcript
A Storm of Memories,/wiki/A_Storm_of_Memories/Transcript
The Second Seal,/wiki/The_Second_Seal/Transcript
Homeward Bound,/wiki/Homeward_Bound/Transcript
A Game of Names,/wiki/A_Game_of_Names/Transcript
The Endless Burrows,/wiki/The_Endless_Burrows/Transcript
Xhorhas (episode),/wiki/Xhorhas_(episode)/Transcript
Feral Business,/wiki/Feral_Business/Transcript
Cornered,/wiki/Cornered/Transcript
Well Beneath,/wiki/Well_Beneath/Transcript
Duplicity,/wiki/Duplicity/Transcript
The Favor,/wiki/The_Favor/Transcript
In Love and War,/wiki/In_Love_and_War/Transcript
Wood and Steel,/wiki/Wood_and_Steel/Transcript
Perspective,/wiki/Perspective/Transcript
A Turtle By Any Other Name,/wiki/A_Turtle_By_Any_Other_Name/Transcript
Agreements,/wiki/Agreements/Transcript
Domestic Respite,/wiki/Domestic_Respite/Transcript
Intervention,/wiki/Intervention/Transcript
A Dangerous Chase,/wiki/A_Dangerous_Chase/Transcript
Chases and Trees,/wiki/Chases_and_Trees/Transcript
Beneath Bazzoxan,/wiki/Beneath_Bazzoxan/Transcript
Beyond the Eyes of Angels,/wiki/Beyond_the_Eyes_of_Angels/Transcript
Reflections,/wiki/Reflections/Transcript
The King's Cage,/wiki/The_King%27s_Cage/Transcript
Causatum,/wiki/Causatum/Transcript
Family Gathering,/wiki/Family_Gathering/Transcript
Clay and Dust,/wiki/Clay_and_Dust/Transcript
Uthodurn (episode),/wiki/Uthodurn_(episode)/Transcript
Manifold Morals,/wiki/Manifold_Morals/Transcript
Rime and Reason,/wiki/Rime_and_Reason/Transcript
Refjorged,/wiki/Refjorged/Transcript
A Tangled Web,/wiki/A_Tangled_Web/Transcript
Between the Lines,/wiki/Between_the_Lines/Transcript
Through the Trees,/wiki/Through_the_Trees/Transcript
The Folding Halls,/wiki/The_Folding_Halls/Transcript
From Door to Door,/wiki/From_Door_to_Door/Transcript
The Beat of the Permaheart,/wiki/The_Beat_of_the_Permaheart/Transcript
Dark Bargains,/wiki/Dark_Bargains/Transcript
Titles and Tattoos,/wiki/Titles_and_Tattoos/Transcript
The Threads Converge,/wiki/The_Threads_Converge/Transcript
The Cathedral,/wiki/The_Cathedral/Transcript
Punishment and Politics,/wiki/Punishment_and_Politics/Transcript
Unwanted Reunions,/wiki/Unwanted_Reunions/Transcript
Lingering Wounds,/wiki/Lingering_Wounds/Transcript
Bathhouses and Bastions,/wiki/Bathhouses_and_Bastions/Transcript
Stone to Clay,/wiki/Stone_to_Clay/Transcript
Home is Where the Heart Is,/wiki/Home_is_Where_the_Heart_Is/Transcript
Misery Loves Company,/wiki/Misery_Loves_Company/Transcript
With Great Power...,/wiki/With_Great_Power.../Transcript
Blessing in Disguise,/wiki/Blessing_in_Disguise/Transcript
Family Shatters,/wiki/Family_Shatters/Transcript
The Fancy and the Fooled,/wiki/The_Fancy_and_the_Fooled/Transcript
Dark Waters,/wiki/Dark_Waters/Transcript
"High Seas, High Stakes","/wiki/High_Seas,_High_Stakes/Transcript"
Hunted at Sea,/wiki/Hunted_at_Sea/Transcript
"Mysteries, Memories, and Music","/wiki/Mysteries,_Memories,_and_Music/Transcript"
"Ghosts, Dinosaurs, and Stuff","/wiki/Ghosts,_Dinosaurs,_and_Stuff/Transcript"
Maritime Mysteries,/wiki/Maritime_Mysteries/Transcript
The Ruined Sliver,/wiki/The_Ruined_Sliver/Transcript
Rumble at Rumblecusp,/wiki/Rumble_at_Rumblecusp/Transcript
A Fog Lifted,/wiki/A_Fog_Lifted/Transcript
Devoutness and Dicks,/wiki/Devoutness_and_Dicks/Transcript
Traveler Con (episode),/wiki/Traveler_Con_(episode)/Transcript
Frigid Propositions,/wiki/Frigid_Propositions/Transcript
Dinner with the Devil,/wiki/Dinner_with_the_Devil/Transcript
New Homes and Old Friends,/wiki/New_Homes_and_Old_Friends/Transcript
The Chase Begins,/wiki/The_Chase_Begins/Transcript
A Heart Grown Cold,/wiki/A_Heart_Grown_Cold/Transcript
An Open Window,/wiki/An_Open_Window/Transcript
Fetching Fables & Frosty Friends,/wiki/Fetching_Fables_%26_Frosty_Friends/Transcript
Under Timeless Ice,/wiki/Under_Timeless_Ice/Transcript
The Tortoise and The Dare,/wiki/The_Tortoise_and_The_Dare/Transcript
Solace Between the Secrets,/wiki/Solace_Between_the_Secrets/Transcript
Malice and Mystery Below,/wiki/Malice_and_Mystery_Below/Transcript
Contentious Company,/wiki/Contentious_Company/Transcript
